"geo_level","code_geo","lib_geo","year","speciality","n"
"country","000","France métropolitaine","1968","medecins",59065
"country","001","France entière","1968","medecins",NA
"departement","D01","Ain","1968","medecins",NA
"departement","D02","Aisne","1968","medecins",NA
"departement","D03","Allier","1968","medecins",NA
"departement","D04","Alpes-de-Haute-Provence","1968","medecins",NA
"departement","D05","Hautes-Alpes","1968","medecins",NA
"departement","D06","Alpes-Maritimes","1968","medecins",NA
"departement","D07","Ardèche","1968","medecins",NA
"departement","D08","Ardennes","1968","medecins",NA
"departement","D09","Ariège","1968","medecins",NA
"departement","D10","Aube","1968","medecins",NA
"departement","D11","Aude","1968","medecins",NA
"departement","D12","Aveyron","1968","medecins",NA
"departement","D13","Bouches-du-Rhône","1968","medecins",NA
"departement","D14","Calvados","1968","medecins",NA
"departement","D15","Cantal","1968","medecins",NA
"departement","D16","Charente","1968","medecins",NA
"departement","D17","Charente-Maritime","1968","medecins",NA
"departement","D18","Cher","1968","medecins",NA
"departement","D19","Corrèze","1968","medecins",NA
"departement","D21","Côte-d'Or","1968","medecins",NA
"departement","D22","Côtes-d'Armor","1968","medecins",NA
"departement","D23","Creuse","1968","medecins",NA
"departement","D24","Dordogne","1968","medecins",NA
"departement","D25","Doubs","1968","medecins",NA
"departement","D26","Drôme","1968","medecins",NA
"departement","D27","Eure","1968","medecins",NA
"departement","D28","Eure-et-Loir","1968","medecins",NA
"departement","D29","Finistère","1968","medecins",NA
"departement","D2A","Corse-du-Sud","1968","medecins",NA
"departement","D2B","Haute-Corse","1968","medecins",NA
"departement","D30","Gard","1968","medecins",NA
"departement","D31","Haute-Garonne","1968","medecins",NA
"departement","D32","Gers","1968","medecins",NA
"departement","D33","Gironde","1968","medecins",NA
"departement","D34","Hérault","1968","medecins",NA
"departement","D35","Ille-et-Vilaine","1968","medecins",NA
"departement","D36","Indre","1968","medecins",NA
"departement","D37","Indre-et-Loire","1968","medecins",NA
"departement","D38","Isère","1968","medecins",NA
"departement","D39","Jura","1968","medecins",NA
"departement","D40","Landes","1968","medecins",NA
"departement","D41","Loir-et-Cher","1968","medecins",NA
"departement","D42","Loire","1968","medecins",NA
"departement","D43","Haute-Loire","1968","medecins",NA
"departement","D44","Loire-Atlantique","1968","medecins",NA
"departement","D45","Loiret","1968","medecins",NA
"departement","D46","Lot","1968","medecins",NA
"departement","D47","Lot-et-Garonne","1968","medecins",NA
"departement","D48","Lozère","1968","medecins",NA
"departement","D49","Maine-et-Loire","1968","medecins",NA
"departement","D50","Manche","1968","medecins",NA
"departement","D51","Marne","1968","medecins",NA
"departement","D52","Haute-Marne","1968","medecins",NA
"departement","D53","Mayenne","1968","medecins",NA
"departement","D54","Meurthe-et-Moselle","1968","medecins",NA
"departement","D55","Meuse","1968","medecins",NA
"departement","D56","Morbihan","1968","medecins",NA
"departement","D57","Moselle","1968","medecins",NA
"departement","D58","Nièvre","1968","medecins",NA
"departement","D59","Nord","1968","medecins",NA
"departement","D60","Oise","1968","medecins",NA
"departement","D61","Orne","1968","medecins",NA
"departement","D62","Pas-de-Calais","1968","medecins",NA
"departement","D63","Puy-de-Dôme","1968","medecins",NA
"departement","D64","Pyrénées-Atlantiques","1968","medecins",NA
"departement","D65","Hautes-Pyrénées","1968","medecins",NA
"departement","D66","Pyrénées-Orientales","1968","medecins",NA
"departement","D67","Bas-Rhin","1968","medecins",NA
"departement","D68","Haut-Rhin","1968","medecins",NA
"departement","D69","Rhône","1968","medecins",NA
"departement","D70","Haute-Saône","1968","medecins",NA
"departement","D71","Saône-et-Loire","1968","medecins",NA
"departement","D72","Sarthe","1968","medecins",NA
"departement","D73","Savoie","1968","medecins",NA
"departement","D74","Haute-Savoie","1968","medecins",NA
"departement","D75","Paris","1968","medecins",NA
"departement","D76","Seine-Maritime","1968","medecins",NA
"departement","D77","Seine-et-Marne","1968","medecins",NA
"departement","D78","Yvelines","1968","medecins",NA
"departement","D79","Deux-Sèvres","1968","medecins",NA
"departement","D80","Somme","1968","medecins",NA
"departement","D81","Tarn","1968","medecins",NA
"departement","D82","Tarn-et-Garonne","1968","medecins",NA
"departement","D83","Var","1968","medecins",NA
"departement","D84","Vaucluse","1968","medecins",NA
"departement","D85","Vendée","1968","medecins",NA
"departement","D86","Vienne","1968","medecins",NA
"departement","D87","Haute-Vienne","1968","medecins",NA
"departement","D88","Vosges","1968","medecins",NA
"departement","D89","Yonne","1968","medecins",NA
"departement","D90","Territoire de Belfort","1968","medecins",NA
"departement","D91","Essonne","1968","medecins",NA
"departement","D92","Hauts-de-Seine","1968","medecins",NA
"departement","D93","Seine-Saint-Denis","1968","medecins",NA
"departement","D94","Val-de-Marne","1968","medecins",NA
"departement","D95","Val-d'Oise","1968","medecins",NA
"departement","D9A","Guadeloupe","1968","medecins",NA
"departement","D9B","Martinique","1968","medecins",NA
"departement","D9C","Guyane","1968","medecins",NA
"departement","D9D","Réunion","1968","medecins",NA
"departement","D9F","Mayotte","1968","medecins",NA
"region","R11","Ile-de-France","1968","medecins",NA
"region","R21","Champagne-Ardenne","1968","medecins",NA
"region","R22","Picardie","1968","medecins",NA
"region","R23","Haute-Normandie","1968","medecins",NA
"region","R24","Centre","1968","medecins",NA
"region","R25","Basse-Normandie","1968","medecins",NA
"region","R26","Bourgogne","1968","medecins",NA
"region","R31","Nord-Pas-de-Calais","1968","medecins",NA
"region","R41","Lorraine","1968","medecins",NA
"region","R42","Alsace","1968","medecins",NA
"region","R43","Franche-Comté","1968","medecins",NA
"region","R52","Pays de la Loire","1968","medecins",NA
"region","R53","Bretagne","1968","medecins",NA
"region","R54","Poitou-Charentes","1968","medecins",NA
"region","R72","Aquitaine","1968","medecins",NA
"region","R73","Midi-Pyrénées","1968","medecins",NA
"region","R74","Limousin","1968","medecins",NA
"region","R82","Rhône-Alpes","1968","medecins",NA
"region","R83","Auvergne","1968","medecins",NA
