"geo_level","code_geo","lib_geo","year","speciality","n"
"departement","D01","Ain","2009","medecins",1182
"departement","D02","Aisne","2009","medecins",1252
"departement","D03","Allier","2009","medecins",934
"departement","D04","Alpes-de-Haute-Provence","2009","medecins",471
"departement","D05","Hautes-Alpes","2009","medecins",551
"departement","D06","Alpes-Maritimes","2009","medecins",4809
"departement","D07","Ardèche","2009","medecins",745
"departement","D08","Ardennes","2009","medecins",673
"departement","D09","Ariège","2009","medecins",446
"departement","D10","Aube","2009","medecins",712
"departement","D11","Aude","2009","medecins",1061
"departement","D12","Aveyron","2009","medecins",799
"departement","D13","Bouches-du-Rhône","2009","medecins",8857
"departement","D14","Calvados","2009","medecins",2274
"departement","D15","Cantal","2009","medecins",393
"departement","D16","Charente","2009","medecins",933
"departement","D17","Charente-Maritime","2009","medecins",1862
"departement","D18","Cher","2009","medecins",704
"departement","D19","Corrèze","2009","medecins",705
"departement","D21","Côte-d'Or","2009","medecins",1920
"departement","D22","Côtes-d'Armor","2009","medecins",1560
"departement","D23","Creuse","2009","medecins",306
"departement","D24","Dordogne","2009","medecins",1042
"departement","D25","Doubs","2009","medecins",1861
"departement","D26","Drôme","2009","medecins",1405
"departement","D27","Eure","2009","medecins",1081
"departement","D28","Eure-et-Loir","2009","medecins",934
"departement","D29","Finistère","2009","medecins",2948
"departement","D2A","Corse-du-Sud","2009","medecins",NA
"departement","D2B","Haute-Corse","2009","medecins",NA
"departement","D30","Gard","2009","medecins",2246
"departement","D31","Haute-Garonne","2009","medecins",5191
"departement","D32","Gers","2009","medecins",491
"departement","D33","Gironde","2009","medecins",5865
"departement","D34","Hérault","2009","medecins",4454
"departement","D35","Ille-et-Vilaine","2009","medecins",3202
"departement","D36","Indre","2009","medecins",495
"departement","D37","Indre-et-Loire","2009","medecins",2169
"departement","D38","Isère","2009","medecins",3981
"departement","D39","Jura","2009","medecins",654
"departement","D40","Landes","2009","medecins",1049
"departement","D41","Loir-et-Cher","2009","medecins",811
